CASE_ID,CUSTOMER_ID,CASE_DATE,PRODUCT,ISSUE_CATEGORY,ISSUE_SUMMARY,RESOLUTION_SUMMARY,REP_NAME,STATUS,PRIORITY
CASE-00001,CUST-0041,2025-12-15,CloudStore Platform,Integration,Webhook deliveries failing with 403 errors to customer's endpoint after infrastructure change.,Customer had updated their firewall rules and forgot to whitelist our webhook IPs. Provided the updated IP range list and verified successful webhook delivery.,Mike Rodriguez,Resolved,Medium
CASE-00002,CUST-0038,2026-01-24,CloudStore Platform,Login/Authentication,Customer unable to log in after password reset. MFA token not being accepted despite correct entry.,Reset MFA configuration and re-enrolled the user. Cleared cached authentication tokens on the server side. Verified successful login after re-enrollment.,Rachel Foster,Resolved,Low
CASE-00003,CUST-0036,2025-12-26,API Gateway,Configuration,Customer unable to configure custom email templates for automated notifications.,Walked the customer through the template configuration API. Found their HTML template had unsupported CSS properties. Provided a compatible template library.,Emma Thompson,Open,Medium
CASE-00004,CUST-0049,2025-12-21,AnalyticsHub,Feature Request,Customer requesting ability to export reports in PDF format with custom branding.,Logged feature request FR-4521. Provided workaround using the API to generate HTML reports that can be converted to PDF with their branding. Escalated to product team.,Carlos Garcia,Resolved,Medium
CASE-00005,CUST-0006,2026-01-18,CloudStore Platform,Feature Request,Customer requesting ability to export reports in PDF format with custom branding.,Logged feature request FR-4521. Provided workaround using the API to generate HTML reports that can be converted to PDF with their branding. Escalated to product team.,Emma Thompson,Open,High
CASE-00006,CUST-0047,2026-01-28,API Gateway,Performance,Batch data import jobs timing out when processing files over 500MB.,Increased the batch processing timeout limits and enabled chunked upload mode. Recommended splitting files into 100MB segments for optimal throughput.,Mike Rodriguez,Resolved,Critical
CASE-00007,CUST-0041,2026-02-18,SecureVault,Data Loss,Data synchronization failure resulted in partial data in the staging environment.,Identified a network interruption during sync. Ran a full resynchronization and implemented checksum validation to detect partial transfers in the future.,James Wilson,Resolved,High
CASE-00008,CUST-0006,2025-12-30,CloudStore Platform,Configuration,Environment variable configuration not persisting across application restarts.,Identified the customer was setting variables at the session level instead of the environment level. Updated configuration to use persistent environment settings.,Carlos Garcia,In Progress,Medium
CASE-00009,CUST-0024,2026-01-15,DataSync Pro,Integration,REST API returning inconsistent schema in responses breaking the customer's ETL pipeline.,Identified a version mismatch where the customer was hitting both v2 and v3 endpoints. Consolidated all calls to v3 and provided migration guidance for deprecated fields.,Mike Rodriguez,In Progress,High
CASE-00010,CUST-0035,2026-01-01,DataSync Pro,Security,Vulnerability scan showing outdated TLS version on the customer's dedicated endpoint.,Upgraded the TLS configuration from 1.1 to 1.3 on the customer's dedicated endpoint. Ran compliance scan to verify all cipher suites meet current security standards.,Rachel Foster,In Progress,Medium
